デンプン粒の種類,粒径範囲
近衛前久_イネ,3.306
近衛前久_イネ,4.947
近衛前久_イネ,4.947
近衛前久_イネ,4.947
近衛信尹_イネ,4.962
近衛信尹_イネ,4.962
近衛信尹_イネ,4.962
近衛信尹_イネ,4.962
近衛信尹_イネ,4.964
近衛信尹_イネ,4.964
近衛信尹_イネ,4.964
近衛信尹_イネ,4.964
近衛信尹_イネ,4.964
近衛信尹_イネ,4.964
近衛信尹_イネ,4.964
近衛信尹_イネ,4.964
近衛信尹_イネ,4.964
近衛信尹_イネ,4.964
近衛信尹_イネ,4.964
近衛信尹_イネ,4.964
近衛信尹_イネ,4.966
近衛信尹_イネ,4.966
近衛信尹_イネ,4.966
近衛信尹_イネ,4.968
近衛信尹_イネ,4.968
近衛信尹_イネ,4.968
近衛信尹_イネ,4.968
近衛信尹_イネ,4.968
近衛信尹_イネ,4.968
現生イネ,5
現生イネ,5
伊達政宗_イネ,5
伊達政宗_イネ,5
伊達政宗_イネ,5
伊達政宗_イネ,5
近衛信尹_トロロアオイ,5
近衛信尹_イネ,5
近衛信尹_イネ,5
近衛信尹_イネ,5
近衛信尹_イネ,5
近衛信尹_イネ,5
近衛信尹_イネ,5
近衛信尹_イネ,5
近衛信尹_イネ,5
近衛信尹_イネ,5.233
近衛信尹_イネ,5.233
近衛信尹_イネ,5.233
近衛信尹_イネ,5.233
近衛信尹_イネ,5.235
近衛信尹_イネ,5.235
近衛信尹_イネ,5.235
現生イネ,5.56
現生イネ,5.56
現生イネ,5.56
現生イネ,5.56
現生キビ,5.56
近衛前久_イネ,5.945
近衛信尹_イネ,5.966
近衛信尹_イネ,5.966
近衛信尹_イネ,5.971
近衛信尹_イネ,5.971
近衛信尹_イネ,5.971
近衛信尹_イネ,5.971
近衛信尹_イネ,5.971
現生イネ,6.11
現生イネ,6.11
現生イネ,6.11
現生イネ,6.11
現生キビ,6.11
現生アワ,6.15
現生ヒエ,6.15
近衛前久_イネ,6.596
近衛前久_イネ,6.596
近衛前久_イネ,6.613
近衛信尹_トロロアオイ,6.616
近衛信尹_イネ,6.616
近衛信尹_イネ,6.616
近衛信尹_イネ,6.616
近衛信尹_イネ,6.616
近衛信尹_イネ,6.616
近衛信尹_イネ,6.616
近衛信尹_イネ,6.616
近衛信尹_イネ,6.616
近衛信尹_イネ,6.616
近衛信尹_イネ,6.616
近衛信尹_イネ,6.616
近衛信尹_イネ,6.619
近衛信尹_イネ,6.619
近衛信尹_イネ,6.619
近衛信尹_イネ,6.619
近衛信尹_イネ,6.619
近衛信尹_イネ,6.619
近衛信尹_イネ,6.619
近衛信尹_イネ,6.619
近衛信尹_イネ,6.619
近衛信尹_イネ,6.619
近衛信尹_イネ,6.619
近衛信尹_イネ,6.619
近衛信尹_イネ,6.619
近衛信尹_イネ,6.619
近衛信尹_イネ,6.619
近衛信尹_イネ,6.619
近衛信尹_イネ,6.619
近衛信尹_イネ,6.622
近衛信尹_イネ,6.622
近衛信尹_イネ,6.622
