一般文書目録番号,史料グループ,紙素材,面密度
391,伊達政宗（コウゾ）,コウゾ,0.057
392,伊達政宗（コウゾ）,コウゾ,0.0234
393,伊達政宗（コウゾ）,コウゾ,0.062
394,伊達政宗（コウゾ）,コウゾ,0.0422
396,伊達政宗（コウゾ）,コウゾ,0.054
397,伊達政宗（コウゾ）,コウゾ,0.028
398,伊達政宗（コウゾ）,コウゾ,0.0447
399,伊達政宗（コウゾ）,コウゾ,0.0298
400,伊達政宗（コウゾ）,コウゾ,0.0876
401,伊達政宗（コウゾ）,コウゾ,0.0113
402,伊達政宗（コウゾ）,コウゾ,0.0328
403,伊達政宗（コウゾ）,コウゾ,0.0121
405,伊達政宗（コウゾ）,コウゾ,0.0237
406,伊達政宗（コウゾ）,コウゾ,0.0484
407,伊達政宗（コウゾ）,コウゾ,0.0274
408,伊達政宗（ガンピ）,ガンピ,0.047
409,伊達政宗（コウゾ）,コウゾ,0.0307
410,伊達政宗（コウゾ）,コウゾ,0.031
411,伊達政宗（コウゾ）,コウゾ,0.0479
412,伊達政宗（コウゾ）,コウゾ,0.0235
413,伊達政宗（コウゾ）,コウゾ,0.0222
414,伊達政宗（コウゾ）,コウゾ,0.0157
415,伊達政宗（コウゾ）,コウゾ,0.0417
416,伊達政宗（コウゾ）,コウゾ,0.0377
417,伊達政宗（コウゾ）,コウゾ,0.0432
418,伊達政宗（コウゾ）,コウゾ,0.0643
419,伊達政宗（コウゾ）,コウゾ,0.0314
37551,伊達政宗（コウゾ）,コウゾ,0.0452
37552,伊達政宗（コウゾ）,コウゾ,0.0384
37553,伊達政宗（コウゾ）,コウゾ,0.0361
37554,伊達政宗（コウゾ）,コウゾ,0.0472
37555,伊達政宗（コウゾ）,コウゾ,0.0357
3148,近衛稙家（ガンピ）,ガンピ,0.1299
3150,近衛稙家（ガンピ）,ガンピ,0.0908
3156,近衛稙家（ガンピ）,ガンピ,0.0781
3157,近衛稙家（ガンピ）,ガンピ,0.0624
3158,近衛稙家（ガンピ）,ガンピ,0.0833
3159,近衛稙家（ガンピ）,ガンピ,0.0844
3160,近衛稙家（ガンピ）,ガンピ,0.0556
3161,近衛稙家（ガンピ）,ガンピ,0.1822
3162,近衛稙家（ガンピ）,ガンピ,0.1205
3163,近衛稙家（ガンピ）,ガンピ,0.0964
3164,近衛稙家（ガンピ）,ガンピ,0.0848
3165,近衛稙家（ガンピ）,ガンピ,0.1358
3166,近衛稙家（ガンピ）,ガンピ,0.1474
3167,近衛稙家（ガンピ）,ガンピ,0.1128
3168,近衛稙家（コウゾ）,コウゾ,0.2146
3169,近衛稙家（コウゾ）,コウゾ,0.1134
3170,近衛稙家（コウゾ）,コウゾ,0.1651
3171,近衛稙家（コウゾ）,コウゾ,0.1837
3172,近衛稙家（コウゾ）,コウゾ,0.0969
3173,近衛稙家（コウゾ）,コウゾ,0.1528
3174,近衛稙家（コウゾ）,コウゾ,0.1534
3175,近衛稙家（コウゾ）,コウゾ,0.0747
3176,近衛稙家（コウゾ）,コウゾ,0.1111
